Accession,MSC-exo-1,MSC-exo-2,MSC-exo-3,MSC-1,MSC-2,MSC-3
P02452,194.046611,249.4445324,116.681305,21.68408996,19.78559639,19.41784216
Q99715,147.1039936,270.9980619,105.8416479,31.20866633,35.26861029,31.75097228
P98160,140.1108656,162.5326964,209.0567134,32.10964861,32.49900429,53.52610916
A0A087WTA8,210.7261011,201.0668869,136.7749899,22.85321386,20.7782142,21.98897936
P01023,200.5741753,233.2641269,140.4658567,13.08638022,13.57875095,13.49459979
P02461,193.5987362,206.0266819,133.804023,25.45121828,27.23579391,32.10964861
P12111,127.3098208,221.0379885,118.9342782,59.93422669,38.01388494,54.49486717
O00468,148.3726528,228.0764555,177.1794545,26.25254456,25.45121828,25.32898847
Q6UVK1,128.8345889,142.5686254,179.7813757,49.69166667,47.3497474,68.99639023
Q8WUM4,153.7965332,186.7461569,156.8180091,51.27430408,39.43452692,33.97767641
P07996,149.6637627,184.5603435,202.0616735,32.3892188,33.22572171,28.56761064
P35555,172.6423026,196.5099741,162.7379903,30.46839345,32.75481873,31.45445934
P68366,108.6196913,122.0979145,189.3486189,60.34205764,53.1258574,71.53202811
P05997,189.3771192,230.2597997,121.0136406,27.36005056,29.5180915,27.64855072
P35442,176.8458585,292.8836009,88.99282813,23.45116774,21.55517778,21.25282203
P13611,205.9681075,269.7561603,83.66592403,15.42516783,17.09219206,15.29199682
P08253,200.0022948,259.9773567,111.5512091,12.68980296,13.88112438,12.30778777
O15230,155.7333248,193.2080094,179.1516268,31.79032393,33.39131712,32.85818684
P06756,153.288957,137.3591198,135.2830055,45.78333333,92.9013857,65.15899175
P12109,171.3072474,211.8623615,144.7170844,34.69056674,29.68325522,34.2606842
Q13308,178.2575718,109.9177756,167.4501822,48.05373327,55.75567643,45.33715375
P20908,185.5739817,225.9140395,127.6191053,29.19126471,28.8585915,28.69535859
O43854,96.43192739,283.1978712,162.7379903,21.50273546,24.03474951,22.12291258
P17301,157.1821579,110.7310683,168.2255785,49.01285068,61.69087355,64.11388127
A0A0A0MT26,171.7169857,122.7797601,164.143,51.16149958,50.23163059,54.49486717
P15144,187.1475305,152.1839602,143.1117547,43.91490246,46.40942056,43.45781789
J3QSU6,99.58509882,235.7800873,158.2350245,33.46051529,36.29691076,48.21087606
E7ESP4,156.1759878,143.6678368,141.3095864,49.2215291,61.26726642,70.28356433
P19823,213.0265273,172.2648457,183.6355489,11.79939808,11.96161712,13.88112438
P23142,159.8458952,231.8982279,136.1274143,28.94459642,29.36742989,43.19591291
P02774,255.012217,97.28713029,166.2349536,11.07523444,11.38006544,13.34365599
Q08431,129.7088703,199.3104727,238.3589809,17.80215301,20.67801958,19.97387902
A0A140TA32,213.2393004,191.1505144,127.5246677,29.42247828,25.82055174,25.77000094
A0A024R571,133.019738,123.4703641,218.8417907,55.51683396,41.98567535,39.79762601
P19827,218.3323039,243.9253339,74.85696436,20.34107187,19.66457356,20.7782142
E7EQG2,116.8866259,115.5109869,223.9679312,56.60831835,48.02679016,42.57379485
P09486,212.7301065,140.378287,158.2350245,39.01182505,33.08925191,25.14122806
P09871,195.2023579,237.7975275,133.1536645,20.0920156,19.97387902,15.81384177
P08473,204.6309529,119.2641326,117.4638738,58.26846694,54.37520254,44.51868891
O15031,157.7420236,87.81789382,185.4279697,49.61178707,58.24301071,62.83036491
O14672,132.0474323,136.6073841,150.4181092,47.13644586,69.04320724,81.09884182
P05121,130.0411983,117.6478404,236.1893626,37.86222992,46.99605641,45.4820803
P00747,225.1734488,163.2368384,153.7141271,17.68451439,17.09219206,18.75714702
P61224,143.6809877,124.2653729,152.7430378,47.96037599,60.97473301,85.36505123
Q9Y4K0,106.8324705,152.5708441,233.3481659,37.86222992,37.63857128,48.34655906
P12110,151.5774643,212.2412456,129.2097572,44.48827097,38.46432438,47.22508133
D6RGZ6,203.782056,284.0581901,95.54564778,6.576352541,6.256827097,5.978360196
Q9P2B2,130.7300368,182.5711153,239.6318516,22.31465549,25.95175667,24.14977029
B4DPQ0,202.1172751,231.3640233,134.3450146,14.99233852,16.84155903,16.68425733
Q16270,158.8454121,135.2095474,213.1238059,32.75481873,41.75813345,39.65119748
Q7L576,106.7177088,148.5514142,154.49329,64.11388127,58.65364647,74.46686042
P62979,152.2620616,135.7929212,155.2593076,56.01389824,48.61564281,73.2341245
P31946,189.8339222,105.4857203,129.0775791,83.13328877,51.50245611,41.10198883
O60462,152.70866,126.7842687,150.7917795,46.80734782,59.62160358,81.09884182
P01008,230.9330343,119.45,187.6254025,16.76219129,13.88112438,14.56042462
Q15113,190.5095454,235.2532666,125.3900764,29.79082032,22.48606591,22.46296145
Q12841,186.4283168,150.4694415,191.066863,34.04988167,33.7886527,26.73648575
P08754,155.6176914,123.2465318,149.3447185,51.21479792,55.33505793,82.12088174
P08779,156.4254955,110.1307293,223.4486112,45.99201166,47.53991771,29.80869449
P05106,206.2716166,173.2100716,127.3167485,30.46839345,39.63493145,35.02664277
Q04721,156.4254955,130.6053778,161.5257562,47.70069177,56.975,64.56918508
P35556,168.7297193,229.3225761,152.7430378,27.11107113,26.1276848,27.11107113
P26006,124.490854,123.9545782,215.2240381,35.43544469,51.41271446,64.56918508
P17948,118.3640035,172.0803065,235.7112932,28.27759452,29.15580332,39.56015123
Q14126,165.750432,121.4624999,190.3758409,42.59651436,44.99915567,51.14170667
P13612,158.5928053,111.5553444,229.6725309,34.46423821,43.01782969,40.63465458
P12107,183.683506,186.9748661,101.7525777,43.59976615,52.15,47.22508133
P35052,169.6787945,154.6092603,192.1349621,34.18737048,32.17214653,47.37030356
P09619,179.5604877,109.6978452,179.5775182,38.62830393,45.93656593,58.15313452
P63096,165.1164441,127.1565943,172.3432394,44.54517293,45.97129675,64.84551482
P00734,191.4831442,149.4752494,214.7437825,21.25282203,22.21904485,24.75732717
Q9H5V8,162.6705765,139.5876269,184.746563,37.60362902,41.48224027,59.28283051
P29144,108.5259749,172.5354559,129.8799319,90.29053297,55.85,51.5136115
P62070,134.5162518,105.8844457,165.8364764,50.89363445,67.08318555,82.58333333
O75882,243.4783329,149.6471747,96.68348601,26.41839933,32.33190668,29.68325522
Q9P265,141.9295404,157.9527993,181.6788929,47.47742111,46.90085232,43.37043172
P48059,151.7638708,147.6924977,136.4902461,70.40720689,61.87596098,48.48857767
P55290,169.6787945,101.5568237,231.8052062,33.25728308,31.98680643,48.765384
O00391,109.6042352,240.7708294,137.602935,41.5926989,42.55044243,42.74044643
Q9NZN4,152.0572556,119.5873123,152.6010286,85.58667912,49.00079137,54.97982491
Q5JWQ6,165.6163405,120.3989347,198.0832345,42.16062257,34.08675064,63.82090406
Q15758,187.5213726,113.7245146,203.2958716,35.86144563,34.34320535,37.25609356
O14936,163.1006195,89.51618916,196.2268037,46.13753882,55.39480098,51.5136115
P08476,128.7283477,223.5675889,133.9881075,40.48120954,46.99605641,45.64171342
P81605,173.7158207,131.9729651,203.2958716,36.23540485,43.40204859,31.525
Q03405,144.4857465,179.5869008,145.5867152,44.83216584,46.80734782,63.82090406
F5H442,117.1282261,166.0245862,167.8147802,56.60831835,53.49166667,49.82262112
Q9H4B7,190.2423216,176.8780201,152.6010286,33.08925191,34.55798229,33.39131712
Q969P0,149.2854578,112.6278559,288.2550748,20.34107187,19.23803879,23.09179327
P08514,226.6696436,198.1617846,104.9233986,20.95759866,22.81551841,21.68408996
P10319,172.3463861,120.0834584,133.1536645,82.19120961,46.80734782,63.01676574
P01031,213.5005982,232.9719649,82.42436368,26.55730442,26.39324541,25.56923338
Q6YHK3,181.9813913,88.72818897,238.9508911,41.10198883,24.68989621,30.91954271
Q9NZN3,176.5278746,152.1839602,193.5053339,42.39207593,34.01507624,28.38423058
P61225,139.7680724,131.1218112,156.8180091,49.49762253,57.30345221,80.85546786
P07585,211.9546685,222.9616407,101.8875556,25.32898847,24.18115361,25.86164933
P54289,162.0132289,145.3341058,178.2206193,39.26118728,53.53593844,40.7577672
H7BY82,182.6068118,221.0379885,105.4960133,41.3024351,36.52053192,34.15620734
H3BMU1,125.8820326,145.4720464,188.4361778,58.69969939,47.81443062,46.57840892
O75326,159.8458952,156.0861773,137.1167277,64.89420626,48.35334839,56.75855281
Q9BZQ8,167.0128775,96.56666667,142.2230638,80.76932646,52.9544889,66.92132357
P17813,143.2394767,89.6298621,168.3401244,59.13010655,66.90645954,73.89454672
Q9H444,164.4160889,86.63514042,168.1084769,67.1524566,52.88273105,61.28889836
P01033,225.9070266,180.7269274,129.7375478,24.87064893,20.49803333,15.94296514
P15531,167.211878,157.0404135,101.9828993,87.12257755,65.7484828,37.25609356
P36955,168.5748407,218.4984423,186.3114818,17.98033226,17.62320996,19.55877692
A0A0A0MT20,184.7354572,203.866227,97.37558969,33.86932468,45.24453477,49.59234568
Q7L7X3,148.3071695,98.41773502,160.3115127,58.45,54.56406794,86.25384036
P17066,206.6001945,127.6921408,119.0457987,58.80773355,39.35128286,53.213289
P13497,109.6042352,233.5586763,160.4489528,36.15930711,36.84939245,37.93349931
Q14344,139.6428095,116.908977,181.0909234,48.84219589,53.96375578,72.48333333
Q16610,210.3048818,143.6678368,175.6103066,30.84086149,21.37343913,29.12356488
P19022,180.0879911,123.9545782,149.0398748,45.00333001,54.90724803,61.58216063
P16035,176.6685184,270.2892463,117.9915339,21.25282203,19.66457356,20.41693247
Q9P273,134.2759765,127.2881899,184.5671851,46.66497278,53.29121307,69.51058807
H9KV31,195.2023579,185.9428423,97.1627234,42.20397601,57.95650629,29.04091728
E9PNQ8,167.9399945,150.3332007,153.1290904,43.28695451,48.61564281,60.89226367
P21926,165.3359115,203.7735577,163.5522793,24.44318156,32.33190668,35.16309083
Q9UI42,124.2749469,131.9729651,180.1148554,50.24166667,88.35723443,37.04721974
P02765,181.5224525,133.8562782,272.7036261,5.086452516,5.978360196,11.56526621
Q86UX7,209.4858376,252.0867139,92.68466452,19.35351138,17.98033226,18.51054016
E9PRJ8,166.548995,170.3627195,198.9800299,24.72007749,32.17214653,35.89817521
O14908,149.5496013,117.125208,172.0332847,63.481233,50.49618757,59.7988563
P02760,215.050865,120.3989347,221.6397183,13.08638022,13.39768988,14.99233852
Q15043,156.2790907,124.6964451,209.705015,39.37042005,37.63857128,55.28077035
P12931,169.9525574,154.82494,143.4215299,51.61457562,50.15675383,52.42771718
A0A0C4DG84,126.9980596,133.8562782,160.9015296,49.82262112,64.56329512,77.55098617
P98066,136.9436372,275.9594983,147.1139203,20.86079099,20.87699485,20.12410367
E7EN19,136.1824714,123.7813739,149.2169668,67.50782106,57.82777171,77.62538754
Q9NUP9,161.5654323,89.1196875,175.7908976,56.22387403,57.41355237,59.93422669
O00186,137.9287393,104.2229458,180.6502285,53.82439422,59.2795132,68.7186339
Q14393,154.2932702,125.5558739,137.5270482,50.71896278,68.83385515,82.63333333
A0A0D9SFB1,122.7670567,177.5975172,116.9520001,72.1184248,57.95650629,69.04320724
Q9Y3L5,132.5151158,136.6073841,166.7064533,50.57786605,58.44980678,70.19884518
P01034,194.811869,124.6964451,165.8364764,47.81443062,37.23479082,36.35840744
P19883,107.2490119,169.7578448,246.2048656,30.61666667,27.51837838,35.59956524
B7ZKJ8,121.7045227,163.9222854,241.5521197,32.49900429,28.15760751,35.02664277
Q9P2R3,186.7678162,119.5111606,111.8952337,59.33269547,55.64722414,76.20978023
A0A087WTF6,161.8835166,121.9653134,176.9841862,42.93224645,44.33119805,72.43458686
H0YLF3,170.0734116,104.7779471,148.2925528,41.88689142,74.54611616,73.63396174
E9PQR7,139.2076476,149.4752494,164.2652716,62.00477673,51.32411621,49.2215291
P55287,141.0678214,105.4857203,172.8261939,43.13876098,71.9537205,75.96545422
Q9BRK3,120.1310077,172.5354559,124.3390825,56.60831835,61.11275131,81.23158136
Q9NZW5,156.0558443,137.5513338,142.4522331,61.26666667,56.44042641,64.84551482
Q99436,149.070853,190.2786015,94.82155492,70.20855587,57.123656,54.27425808
H7BY55,147.971998,109.5009209,186.7141608,42.3091379,77.87516258,46.90085232
P24593,188.3977283,157.7084455,169.9963646,36.46141871,34.65477992,32.75481873
Q15262,137.3779149,123.2465318,156.4303377,56.13464225,70.87707515,69.15833333
Q8IWA5,148.4818109,131.3701633,211.4257974,31.45445934,47.41029531,49.82262112
Q9UIW2,161.5654323,97.98870372,207.1481341,42.09734437,47.81443062,52.36839645
O94985,160.5936471,252.7555715,138.5237553,27.70085349,27.07196509,25.32898847
P18084,160.4461935,135.3065633,128.8338521,48.96616456,80.18811312,70.5174801
A0A2U3TZL5,157.910542,123.6895767,173.117961,38.62830393,57.55086942,67.31955903
O75636,187.3468792,250.2249731,87.47818784,31.525,31.17095761,30.46839345
P03952,222.1415859,189.4437577,128.6150567,20.54130417,19.38449686,21.37343913
P68871,177.0706238,138.8660234,164.5494632,37.77164674,45.54314636,56.50594687
O94760,198.6811297,107.5425806,130.2847233,75.28246109,47.75450831,37.39883186
P31146,174.7225472,195.0472665,108.4521694,62.29688349,38.62830393,41.10198883
P31431,177.233287,220.1203401,140.119167,25.56923338,31.98680643,31.254217
G5EA09,135.0112066,262.2787709,147.1139203,26.16410033,25.32898847,29.04091728
Q9NRY6,154.1137455,181.9726265,148.5256059,38.87841136,44.58333333,59.06495423
Q7Z417,185.5739817,116.0059663,109.7344507,74.56157142,57.91488002,62.45134537
O43657,123.7506064,186.7461569,124.3390825,44.33119805,64.08391931,75.8157602
Q9C0H2,126.0696524,204.7108857,145.8454697,39.77272422,44.10909493,57.83671564
A0A0A0MSA9,154.0058474,142.3972572,149.4848997,43.81620315,58.44980678,74.81327545
P11169,168.5748407,109.5009209,144.1454925,48.84219589,81.23253039,62.33444407
P01116,178.1383101,98.12877194,191.338133,47.13644586,38.87841136,52.9544889
Q15382,136.8437053,132.7198046,158.7079165,79.54012367,54.27425808,48.91174868
P48509,125.2289296,118.5166667,179.9732916,45.13018321,60.86576976,79.43723486
M0R1T5,150.524614,119.1614311,147.5370807,70.08445308,57.30345221,68.90232927
Q9HCU0,189.3771192,141.1262899,171.5568293,45.08626017,32.89064441,36.4901973
P08519,195.2023579,195.3037539,123.9756425,36.46141871,34.77924671,32.57742623
Q5VW32,106.0152798,157.4190495,148.7911662,63.71576085,64.65257193,68.4007358
Q14767,160.250047,243.2347576,125.8436229,31.79032393,35.99500883,31.98680643
Q8N4C8,129.6034775,109.2653078,199.8059974,58.52616539,53.96375578,54.49486717
B4DNG0,159.2907273,237.1940234,135.2830055,33.5968546,30.66191676,36.21409019
P00390,207.1879384,164.8215887,83.28253222,58.95199456,48.24872515,37.77164674
Q14644,152.70866,107.8500071,187.9663344,52.83337235,44.33119805,68.80715505
Q08629,192.7588516,263.0672472,79.94523762,25.82055174,31.29373294,20.29456572
P98095,152.8798989,246.7706993,111.771429,35.16309083,34.46423821,49.69722479
O75351,95.08002971,136.9824508,176.7430622,66.95255192,59.71442059,63.17613159
Q6UVY6,139.3399217,110.2563058,159.052836,71.25222655,52.38103867,77.62538754
O15484,138.8752858,139.813701,146.2066392,47.37030356,62.21261259,83.75730091
Q8N8U9,102.4324822,210.2988355,145.6862064,40.6033745,45.54314636,66.72269435
F8VWK8,117.2511589,180.1666663,116.1816928,52.39141317,65.47351202,84.14818631
P12429,163.5808425,141.4203975,129.2097572,69.20270313,57.47949954,57.7184575
Q8WWI5,176.3104404,136.9824508,175.905663,37.10064781,37.77164674,58.76606222
P41221,132.5151158,188.2180092,152.5193375,42.93224645,39.01182505,69.15833333
P59768,170.9372555,128.5550378,140.5722371,56.7322548,50.00533012,72.81347056
U3KQG5,172.1593798,135.5627564,140.5722371,38.3826607,100.52979,40.52588343
P02748,179.8290981,254.3666363,97.48913307,38.80089364,30.34115212,26.93671657
Q7LBR1,120.9201481,148.8214255,172.1596768,60.26625781,51.78637015,58.26846694
F6SYF8,166.362713,138.3718074,156.9855253,55.73445207,46.13753882,53.97062605
Q16394,155.4551576,182.9084302,143.575212,35.69591958,43.94539108,67.31955903
Q9Y625,208.0359611,129.7106688,146.7313621,36.35840744,41.63622847,42.93224645
O75954,138.4015809,192.93757,217.1755399,22.12291258,29.93940989,26.93671657
A6XND1,167.211878,183.8657549,149.8765302,28.94459642,57.16429162,30.6
P23229,193.0913726,163.0500057,120.2172403,39.63493145,42.93224645,61.16269944
Q96PY5,181.6732601,126.5083173,151.764206,50.40064148,48.1035224,55.03442782
Q9HBI1,192.7588516,225.4291009,93.68949403,43.43146146,34.15620734,28.49328112
O76061,122.4220847,286.5221148,137.602935,23.45116774,25.26675117,27.93372853
Q8IXI2,164.5081855,172.8342359,101.4686815,39.77272422,63.64020894,82.50037242
P17677,210.1226787,129.7106688,130.3917515,40.21525051,45.78333333,46.90085232
B1AKC9,119.981049,155.9478838,199.1914119,37.97167306,46.23709785,62.01200258
E7ESK6,132.3802311,129.9671522,205.2873114,32.49900429,64.35397848,48.60148926
P24592,212.3264756,127.0125549,195.8650671,27.23579391,22.99485715,22.78110355
G3V4U0,118.3640035,194.3310017,228.9777996,22.70134682,28.99511949,29.97757011
Q93063,100.1258572,183.3744425,148.435015,43.13876098,62.82409318,70.9
P05156,232.062834,99.36642652,182.9161555,19.5018799,21.25282203,21.53601162
Q9UQM7,170.8306218,136.1195592,166.406404,45.71868881,45.09257449,55.28077035
P01040,130.3876008,117.6478404,198.3324091,56.46567574,47.53991771,61.64122851
Q01974,155.3021428,151.7296485,157.7582763,45.33715375,63.095283,45.4820803
A0A0A0MQX1,118.7961848,117.0193254,170.4208058,64.48085801,53.82439422,80.25435594
O95084,139.7680724,276.4724794,110.4445011,31.79032393,35.43544469,27.43317937
P54764,128.3787989,124.4737848,169.6747366,48.19166667,57.02507799,83.89262092
Q9NUN5,168.9600271,153.7658094,112.3840464,46.48420522,61.69087355,80.53381035
Q96AM1,142.9224719,127.8643225,248.1867866,36.35840744,34.20615157,32.24991192
H0YD64,159.4595888,99.36642652,197.5656033,36.62968806,38.80089364,83.38840894
A0A087X1H5,128.2328585,127.4311186,176.2900777,70.76078266,53.6479713,50.60579489
A0A075B6J9,233.8272779,193.8437594,73.74435737,27.88314165,28.01127534,26.49117949
Q12974,136.1333743,97.49551543,173.8012991,81.96666667,51.50245611,62.01200258
P28072,116.0246639,183.3744425,154.8789283,60.41666667,49.59234568,43.63691884
Q9C0D5,180.0879911,101.4007878,122.6664277,65.30121486,59.06598939,76.86606098
A0A0U1RQW6,163.194209,167.9619083,150.2068144,44.41967616,43.17474648,56.99396975
C9J5B0,167.0128775,184.8475208,168.843358,30.91954271,38.46432438,33.08925191
Q7L9L4,132.710044,98.86566662,181.9090455,65.38951041,59.71442059,60.50508743
P31944,148.9390875,120.5763555,219.1933322,45.52112847,40.52588343,43.28695451
G5EA48,135.3569118,109.9177756,165.2486916,68.85197331,47.92472112,82.50037242
D3YTG3,149.7545611,192.5900422,202.2861069,31.00440473,27.78093036,26.64743158
P48960,142.7868057,105.6195566,163.3694815,66.95255192,52.55402771,77.01666667
P01137,153.7965332,244.4554634,111.4692477,46.7517714,34.77924671,36.4901973
O95297,145.8676404,111.4220986,159.4102762,44.6032976,69.15833333,82.89675953
O95163,145.7331057,139.0633152,139.6009091,68.13977565,52.26763402,75.49777304
P52701,114.8000439,178.5319558,119.0457987,75.18333333,48.4453002,80.19315679
P22692,173.633258,176.6506322,184.3583265,32.29835525,28.45424232,33.39131712
O00194,175.2595981,159.4270801,132.3351766,69.20270313,37.39883186,49.2215291
B5MD46,184.4983273,115.5109869,135.6652379,57.92428505,58.0717043,54.27425808
D6RB12,194.2429452,196.2998882,151.764206,26.08749115,28.69535859,22.46296145
Q9Y5J5,141.2648171,96.8343795,180.8015217,61.4965348,61.11275131,58.50334293
Q8N1N4,147.254256,99.36642652,209.3946729,54.11235178,41.48224027,58.15313452
Q03169,117.9054534,127.5652946,172.1596768,44.96703271,76.53591973,72.81347056
P22352,207.559212,225.1858383,85.45224645,39.37042005,28.62190793,26.1276848
Q96EY5,143.8475635,168.1906376,145.7418395,50.40064148,52.09108917,62.45134537
Q9BRT3,155.9439635,114.4638219,141.8067179,77.16350943,67.08318555,54.49486717
Q9H6B4,151.5774643,105.8844457,159.7075834,50.1371966,53.96375578,88.84929119
A6NDG6,128.1208808,143.0315473,174.4470966,78.06666667,50.38997439,36.40318911
Q8WUW1,158.2547022,148.3304831,145.4524963,57.5169994,54.37520254,55.50002929
H7C5K4,169.6787945,212.9453208,112.0915621,38.62830393,48.02679016,39.19409745
E9PN41,155.6176914,186.185624,213.356081,20.54130417,30.79548733,24.20908246
P21579,140.6291863,166.5617826,153.9905314,43.91490246,44.72149552,76.54604255
P18433,144.9595238,137.9547502,212.3314618,35.5559514,41.80932961,48.99171177
Q9H4A5,121.220445,143.5203197,192.1349621,57.60556652,47.41029531,50.49618757
Q9UN70,148.0549265,128.6889543,181.0909234,47.70069177,48.02679016,65.92245444
P50583,142.7868057,155.3179767,121.1494782,81.86666667,64.97086273,53.80833333
E5RJ29,158.337169,96.8343795,163.5522793,69.10785157,51.21479792,67.54744739
Q9Y2I8,156.0558443,131.9729651,130.1510122,57.26121258,66.38380214,78.25384041
P61812,91.35450866,194.6275596,142.1594557,51.12273886,59.2795132,66.17519574
P40189,124.8135392,158.8988827,137.2469766,52.68567737,55.90901093,88.94143167
P36222,221.6283723,101.9188052,170.5834363,27.61979031,30.66191676,31.75097228
D6RD48,137.9287393,102.8562935,192.518114,44.06029447,54.1429703,78.38052604
Q6UX71,158.8454121,130.815793,152.2194447,45.78333333,89.02028868,43.28695451
P55285,174.9639387,174.1352292,109.4706056,41.16912413,65.90461044,56.99396975
Q96PD2,153.7162834,121.0171313,182.1129666,54.80149403,49.325,53.52610916
Q9Y5G0,120.7166667,133.0237934,165.5050398,52.97030877,54.27425808,84.79403667
Q68CP4,138.4015809,97.98870372,186.4776605,47.24465176,60.50508743,74.57422084
Q8TF42,144.1578365,164.4346775,111.1542573,67.62723644,53.96375578,80.25435594
Q02388,197.1743465,201.4546695,131.3890789,28.35266921,27.36005056,32.10964861
P07360,200.3301845,181.0863297,108.4521694,50.89363445,39.19409745,30.34115212
Q66K14,140.4265858,153.7658094,130.2280577,76.08117907,61.47928543,56.91583815
Q12959,163.3914,82.79233067,200.2889805,49.37981242,54.90724803,47.37030356
F8W8Y1,158.1888876,131.5313656,135.430565,56.38158499,78.53305266,60.13083216
Q9Y6M7,185.1823151,155.0295434,110.6812976,45.83935106,53.41911303,70.38703534
F8WAU5,164.945657,163.7959301,103.4075517,86.83374299,50.250184,50.41132096
Q96PD5,164.7286187,133.151044,140.2157923,46.40942056,65.16666667,70.98333333
Q96CS7,141.6766126,182.1060376,153.7141271,40.92333709,45.09257449,60.61118099
Q13433,168.8324133,113.2322007,243.521427,26.64743158,33.33088519,31.98680643
Q5VV42,183.3949864,145.7437555,157.8813727,38.12188243,41.08648362,53.213289
O95633,170.6046127,169.5028597,166.9178554,43.59976615,39.75730304,33.22572171
C9J5H8,145.4076288,148.4965287,133.0333333,70.9,59.58411043,62.18689415
Q9ULF5,164.8346161,154.82494,200.6699869,31.79032393,35.14798315,41.43470132
Q6GPG7,169.4248513,112.6278559,149.4848997,53.51666667,44.54517293,85.01191454
Q8IWU5,109.6042352,173.6097181,156.9855253,51.85984948,54.20644805,65.55743429
Q15208,167.7230884,128.9518274,125.3900764,85.10542024,63.5076784,42.28296019
